Date,Price,Open,High,Low,Vol.,Change %
5/18/2022,192.24,200,201,191.63,23.81M,-5.12%
5/17/2022,202.62,202.12,205.46,198.36,24.87M,1.29%
5/16/2022,200.04,197.05,205.37,195.93,27.11M,0.71%
5/13/2022,198.62,192.58,199.89,191.28,24.55M,3.86%
5/12/2022,191.24,187.06,198.05,184.78,38.26M,1.32%
5/11/2022,188.74,196.32,200.67,188.27,31.15M,-4.51%
5/10/2022,197.65,199.51,202.96,194.19,34.45M,0.73%
5/9/2022,196.21,199.84,202.57,195.58,36.30M,-3.71%
5/6/2022,203.77,207.34,209.38,201.02,34.75M,-2.17%
5/5/2022,208.28,218.74,220.17,206.16,41.13M,-6.77%
5/4/2022,223.41,210.65,224.3,206.96,41.38M,5.37%
5/3/2022,212.03,210.45,214.9,208.09,41.56M,0.43%
5/2/2022,211.13,201.16,211.88,200.99,49.92M,5.32%
4/29/2022,200.47,204.46,212.48,199.9,49.19M,-2.56%
4/28/2022,205.73,202.92,208.53,192.9,100.89M,17.59%
4/27/2022,174.95,174.43,181.21,169,71.06M,-3.32%
4/26/2022,180.95,186.63,187.19,179.5,31.75M,-3.23%
4/25/2022,186.99,182.73,187.18,181.66,29.28M,1.56%
4/22/2022,184.11,190.37,192.72,183.27,36.43M,-2.11%
4/21/2022,188.07,201.6,202.97,185.58,49.95M,-6.16%
4/20/2022,200.42,213.6,214.16,198.92,43.04M,-7.77%
4/19/2022,217.31,210.52,218.43,209,20.09M,3.10%
4/18/2022,210.77,210,213.38,208.3,16.58M,0.28%
4/14/2022,210.18,214.89,214.99,210,18.38M,-2.24%
4/13/2022,214.99,211.82,216.61,211.33,19.23M,0.40%
4/12/2022,214.14,220.24,222.03,213.13,20.13M,-1.07%
4/11/2022,216.46,218.42,220.61,215.22,20.52M,-2.64%
4/8/2022,222.33,222.38,225.13,220.03,18.38M,-0.28%
4/7/2022,222.95,223.93,225.52,218.56,21.04M,-0.16%
4/6/2022,223.3,226.91,228.99,221.41,29.00M,-3.68%
4/5/2022,231.84,234.08,236.86,231.02,29.73M,-0.88%
4/4/2022,233.89,225.98,234.35,225.86,28.10M,4.02%
4/1/2022,224.85,224.55,227.28,222.7,19.54M,1.12%
3/31/2022,222.36,228.45,228.49,222.26,24.19M,-2.41%
3/30/2022,227.85,228.91,231.15,226.71,25.59M,-0.87%
3/29/2022,229.86,226.07,230.89,225.29,31.42M,2.80%
3/28/2022,223.59,222.13,224.04,219.54,26.22M,0.80%
3/25/2022,221.82,220.51,225.5,218.89,40.04M,1.02%
3/24/2022,219.57,215,220.67,214.79,31.50M,2.86%
3/23/2022,213.46,213.33,216.8,212.16,23.72M,-1.47%
3/22/2022,216.65,211.37,219.46,210.18,32.00M,2.44%
3/21/2022,211.49,214.5,214.71,207.63,30.14M,-2.31%
3/18/2022,216.49,206.7,216.8,206,52.13M,4.16%
3/17/2022,207.84,201.7,208.04,201.11,29.50M,2.07%
3/16/2022,203.63,194.7,203.73,194.52,40.64M,6.04%
3/15/2022,192.03,190.8,192.28,185.91,31.72M,2.89%
3/14/2022,186.63,187.03,192.29,185.82,31.01M,-0.52%
3/11/2022,187.61,192.63,193.56,186.67,34.69M,-3.89%
3/10/2022,195.21,194.84,196.28,191.07,24.85M,-1.66%
3/9/2022,198.5,195.74,199.1,193.92,31.89M,4.31%
3/8/2022,190.29,187.85,196.7,186.11,37.51M,1.50%
3/7/2022,187.47,200.79,200.89,187.28,38.56M,-6.29%
3/4/2022,200.06,202.37,205.89,198.79,32.15M,-1.43%
3/3/2022,202.97,209.01,209.08,201.42,27.26M,-2.47%
3/2/2022,208.11,204.78,209.15,202.02,29.45M,2.27%
3/1/2022,203.49,209.87,211.75,202.22,27.09M,-3.57%
2/28/2022,211.03,207.68,213.15,206.83,34.24M,0.26%
2/25/2022,210.48,204.94,211.32,203.18,37.63M,1.39%
2/24/2022,207.6,191.06,208.35,190.22,49.96M,4.61%
2/23/2022,198.45,204.16,206.94,198.05,44.48M,-1.80%
2/22/2022,202.08,202.34,207.48,200.06,39.85M,-1.98%
2/18/2022,206.16,209.39,210.75,205.18,37.13M,-0.75%
2/17/2022,207.71,214.02,217.5,207.16,38.75M,-4.08%
2/16/2022,216.54,212.41,217.46,212.36,45.82M,-2.02%
2/15/2022,221,220.47,221.15,215.06,42.69M,1.52%
2/14/2022,217.7,219.31,221,214.78,38.18M,-0.84%
2/11/2022,219.55,228.46,230.42,218.77,46.16M,-3.74%
2/10/2022,228.07,228.27,235,226.7,49.31M,-1.69%
2/9/2022,232,224.2,233.37,222.21,86.56M,5.37%
2/8/2022,220.18,220.85,225.77,216.15,94.73M,-2.10%
2/7/2022,224.91,237.7,238.3,224.01,88.61M,-5.14%
2/4/2022,237.09,234.97,242.61,230.11,89.34M,-0.28%
2/3/2022,237.76,244.65,248,235.75,188.12M,-26.39%
2/2/2022,323,327.82,328,316.87,58.46M,1.25%
2/1/2022,319,314.56,319.66,312.12,18.02M,1.83%
1/31/2022,313.26,300.68,313.79,299.32,21.58M,3.83%
1/28/2022,301.71,295.62,301.9,293.03,21.87M,2.40%
1/27/2022,294.64,297.75,301.71,294.26,21.63M,0.00%
1/26/2022,294.63,307.01,307.51,290.85,28.35M,-1.84%
1/25/2022,300.15,299.95,306.23,297.58,25.11M,-2.77%
1/24/2022,308.71,297.84,309.53,289.01,38.94M,1.83%
1/21/2022,303.17,314.81,318.31,303.04,28.71M,-4.23%
1/20/2022,316.56,323.9,327.82,315.98,16.93M,-0.95%
1/19/2022,319.59,319.58,327.1,319.33,20.81M,0.45%
1/18/2022,318.15,323.29,324.21,317.64,22.68M,-4.14%
1/14/2022,331.9,321.79,332.73,321.21,16.87M,1.66%
1/13/2022,326.48,334.98,335.63,325.76,14.80M,-2.03%
1/12/2022,333.26,335.18,336.37,330.03,14.10M,-0.33%
1/11/2022,334.37,326.78,334.63,325.28,16.23M,1.92%
1/10/2022,328.07,325.31,328.34,315.43,24.94M,-1.12%
1/7/2022,331.79,332.74,337,328.88,14.72M,-0.20%
1/6/2022,332.46,322.82,339.17,322.72,27.96M,2.56%
1/5/2022,324.17,333.02,335.76,323.84,20.56M,-3.67%
1/4/2022,336.53,339.95,343.09,331.87,16.00M,-0.59%
1/3/2022,338.54,338.3,341.08,337.19,14.56M,0.65%
